style_id	family	title	feel	type_era	control	material_hint	a11y_watch	notes
funeral	industry-expanded	Funeral Director	quiet respectful	TY-OLDSTYLE-SERIF	ink-underline	funeral	domain contrast	industry research expansion
furniture-scandi	industry-expanded	Scandi Furniture	product air wood	TY-HUMANIST	soft-rect	furniture-wood	domain contrast	industry research expansion
gallery-commercial	industry-expanded	Commercial Gallery	artists exhibitions	TY-GROTESK-SOFT	ink-underline	gallery-comm	domain contrast	industry research expansion
game-studio	industry-expanded	Game Studio	ship roadmap	TY-GROTESK-SOFT	sharp-0	gamedev	domain contrast	industry research expansion
garden-centre	industry-expanded	Garden Centre	plants seasons	TY-HUMANIST	soft-rect	garden-centre	domain contrast	industry research expansion
gas-utility	industry-expanded	Gas Utility	safety safety safety	TY-HUMANIST	chunk-border	gas-safety	domain contrast	industry research expansion
golf-club	industry-expanded	Golf Club	green traditional	TY-TRANSITIONAL-SERIF	soft-rect	golf	domain contrast	industry research expansion
greengrocer	industry-expanded	Greengrocer	chalkboard prices	TY-HUMANIST	chunk-border	greengrocer	domain contrast	industry research expansion
gym-climbing	industry-expanded	Climbing Gym Ops	routes grades	TY-INDUSTRIAL-COND	chunk-border	climbing-ops	domain contrast	industry research expansion
hair-salon-barber-modern	industry-expanded	Modern Salon	booking glam	TY-DIDONE-LUX	pill	salon-modern	domain contrast	industry research expansion
hardware-iot	industry-expanded	Hardware IoT Brand	product renders specs	TY-GROTESK-SOFT	sharp-0	hardware	domain contrast	industry research expansion
heritage-railway	industry-expanded	Heritage Railway	timetable nostalgia	TY-HUMANIST	ticket	heritage-rail	domain contrast	industry research expansion
hospital-internal	industry-expanded	Hospital Internal	wards tasks	TY-HUMANIST	sharp-0	hospital-ops	domain contrast	industry research expansion
hostel	industry-expanded	Hostel	bunks social cheap clear	TY-HUMANIST	pill	hostel	domain contrast	industry research expansion
hotel-budget	industry-expanded	Budget Hotel	deals clean simple	TY-GROTESK-SOFT	soft-rect	budget-hotel	domain contrast	industry research expansion
hr-portal	industry-expanded	HR Portal	policies leave	TY-HUMANIST	soft-rect	hr	domain contrast	industry research expansion
hvac	industry-expanded	HVAC Service	jobs routes	TY-INDUSTRIAL-COND	chunk-border	hvac	domain contrast	industry research expansion
ice-cream-brand	industry-expanded	Ice Cream Brand	joy colour	TY-ROUNDED	pill	icecream-brand	domain contrast	industry research expansion
immigration-help	industry-expanded	Immigration Help	calm clear steps careful	TY-HUMANIST	soft-rect	immigration	domain contrast	industry research expansion
insurance-claims	industry-expanded	Insurance Claims	status plain	TY-HUMANIST	sharp-0	claims	domain contrast	industry research expansion
interior-design	industry-expanded	Interior Design Studio	moodboards rooms	TY-DIDONE-LUX	ink-underline	interiors	domain contrast	industry research expansion
jewellery	industry-expanded	Jewellery	sparkle restraint photo	TY-DIDONE-LUX	ink-underline	jewellery	domain contrast	industry research expansion
job-board	industry-expanded	Job Board	listings filters	TY-GROTESK-SOFT	soft-rect	jobs	domain contrast	industry research expansion
juice-bar	industry-expanded	Juice Bar	fresh bright	TY-ROUNDED	pill	juice	domain contrast	industry research expansion
karaoke	industry-expanded	Karaoke	neon song lists	TY-DISPLAY-EXTREME	pill	karaoke	domain contrast	industry research expansion
kitchen-retail	industry-expanded	Kitchen Retail	cabinets showroom	TY-HUMANIST	soft-rect	kitchen-retail	domain contrast	industry research expansion
language-school	industry-expanded	Language School	lessons progress	TY-HUMANIST	soft-rect	language-school	domain contrast	industry research expansion
laundry	industry-expanded	Laundry	tickets machines	TY-HUMANIST	chunk-border	laundry	domain contrast	industry research expansion
law-firm-corporate	industry-expanded	Corporate Law	serious navy	TY-TRANSITIONAL-SERIF	ink-underline	law-corp	domain contrast	industry research expansion
library-public-ops	industry-expanded	Library Ops	loans fines holds	TY-HUMANIST	sharp-0	library-ops	domain contrast	industry research expansion
lighting-store	industry-expanded	Lighting Store	glow dark showroom	TY-GROTESK-SOFT	soft-rect	lighting	domain contrast	industry research expansion
live-music-venue	industry-expanded	Live Music Venue	listings posters	TY-DISPLAY-EXTREME	ticket	venue	domain contrast	industry research expansion
local-news	industry-expanded	Local News	hyperlocal trust	TY-SERIF-TEXT	ink-underline	local-news	domain contrast	industry research expansion
locksmith	industry-expanded	Locksmith	emergency clear	TY-HUMANIST	filled-block	locksmith	domain contrast	industry research expansion
logistics-last-mile	industry-expanded	Last Mile	stops map	TY-HUMANIST	chunk-border	last-mile	domain contrast	industry research expansion
makeup-brand	industry-expanded	Makeup Brand	swatches glam	TY-DIDONE-LUX	pill	makeup	domain contrast	industry research expansion
marina	industry-expanded	Marina	berths tides	TY-HUMANIST	chunk-border	marina	domain contrast	industry research expansion
marketplace-handmade	industry-expanded	Handmade Marketplace	maker stories	TY-HUMANIST	soft-rect	handmade-mkt	domain contrast	industry research expansion
meat-delivery	industry-expanded	Butcher Delivery	cuts schedules	TY-SLAB	chunk-border	meat-delivery	domain contrast	industry research expansion
medical-device	industry-expanded	Medical Device UI	regulated clear	TY-HUMANIST	sharp-0	med-device	domain contrast	industry research expansion
mental-health	industry-expanded	Mental Health App	gentle careful	TY-HUMANIST	pill	mental-health	domain contrast	industry research expansion
military-recruit-careful	industry-expanded	Recruitment Careful	formal clear not manipulative	TY-HUMANIST	sharp-0	recruit	domain contrast	industry research expansion
mining-ops	industry-expanded	Mining Ops	safety heavy	TY-INDUSTRIAL-COND	chunk-border	mining	domain contrast	industry research expansion
mobile-network	industry-expanded	Mobile Network	plans coverage	TY-GROTESK-SOFT	soft-rect	telco	domain contrast	industry research expansion
mosque-community	industry-expanded	Community Faith Centre careful	respectful calm	TY-HUMANIST	ink-underline	community-faith	domain contrast	industry research expansion
moving-company	industry-expanded	Movers	quotes inventory	TY-HUMANIST	chunk-border	movers	domain contrast	industry research expansion
music-school	industry-expanded	Music School	lessons recitals	TY-OLDSTYLE-SERIF	soft-rect	music-school	domain contrast	industry research expansion
nail-salon	industry-expanded	Nail Salon	colour glossy	TY-ROUNDED	pill	nails	domain contrast	industry research expansion
national-park	industry-expanded	National Park	maps rules nature	TY-SLAB	chunk-border	nat-park	domain contrast	industry research expansion
news-aggregator	industry-expanded	News Aggregator	sources river	TY-GROTESK-SOFT	sharp-0	news-agg	domain contrast	industry research expansion
nightclub	industry-expanded	Nightclub	guestlist dark	TY-DISPLAY-EXTREME	sharp-0	nightclub	domain contrast	industry research expansion
nursery-plants	industry-expanded	Plant Nursery	stock seasons	TY-HUMANIST	soft-rect	nursery	domain contrast	industry research expansion
nutrition	industry-expanded	Nutrition Coaching	plans progress	TY-HUMANIST	pill	nutrition	domain contrast	industry research expansion
office-supplies	industry-expanded	Office Supplies	catalog SKUs	TY-SYSTEM-RAW	soft-rect	office-supplies	domain contrast	industry research expansion
oil-gas	industry-expanded	Oil and Gas Ops	safety industrial	TY-INDUSTRIAL-COND	chunk-border	oilgas	domain contrast	industry research expansion
online-bank	industry-expanded	Online Bank	balances clear	TY-GROTESK-SOFT	soft-rect	online-bank	domain contrast	industry research expansion
optician	industry-expanded	Optician	frames try-on	TY-HUMANIST	soft-rect	optician	domain contrast	industry research expansion
orchestra	industry-expanded	Orchestra	season programmes	TY-DIDONE-LUX	ink-underline	orchestra	domain contrast	industry research expansion
organic-csa	industry-expanded	CSA Box	shares seasons	TY-HUMANIST	chunk-border	csa	domain contrast	industry research expansion
parking	industry-expanded	Parking	spaces payments	TY-HUMANIST	sharp-0	parking	domain contrast	industry research expansion
passport-office	industry-expanded	Passport Office	steps documents	TY-HUMANIST	sharp-0	passport	domain contrast	industry research expansion
patisserie	industry-expanded	Patisserie	delicate type cream	TY-DIDONE-LUX	soft-rect	patisserie	domain contrast	industry research expansion
pawn-shop	industry-expanded	Pawn Shop	tickets categories	TY-SYSTEM-RAW	chunk-border	pawn	domain contrast	industry research expansion
payroll	industry-expanded	Payroll	runs payslips	TY-MONO-DATA	sharp-0	payroll	domain contrast	industry research expansion
pet-adoption	industry-expanded	Pet Adoption	profiles careful joy	TY-ROUNDED	pill	pets	domain contrast	industry research expansion
pharmacy-ops	industry-expanded	Pharmacy Ops	scripts queues	TY-HUMANIST	sharp-0	pharmacy-ops	domain contrast	industry research expansion
photo-studio	industry-expanded	Photo Studio	booking gallery	TY-GROTESK-SOFT	soft-rect	photo-studio	domain contrast	industry research expansion
physiotherapy	industry-expanded	Physio	exercises progress	TY-HUMANIST	soft-rect	physio	domain contrast	industry research expansion
pizza-chain	industry-expanded	Pizza Chain	menu deals	TY-DISPLAY-EXTREME	filled-block	pizza	domain contrast	industry research expansion
plumbing	industry-expanded	Plumbing	jobs emergency	TY-INDUSTRIAL-COND	chunk-border	plumbing	domain contrast	industry research expansion
podcast-network	industry-expanded	Podcast Network	shows episodes	TY-GROTESK-SOFT	pill	podcast	domain contrast	industry research expansion
police-community	industry-expanded	Community Policing Careful	info not fear	TY-HUMANIST	sharp-0	community-police	domain contrast	industry research expansion
pool-service	industry-expanded	Pool Service	routes chemicals	TY-HUMANIST	chunk-border	pool-service	domain contrast	industry research expansion
port-authority	industry-expanded	Port Authority	vessels schedules	TY-HUMANIST	chunk-border	port	domain contrast	industry research expansion
pottery-studio	industry-expanded	Pottery Studio	classes kiln	TY-HUMANIST	soft-rect	pottery-class	domain contrast	industry research expansion
print-shop	industry-expanded	Print Shop	jobs specs	TY-MONO-DATA	chunk-border	printshop	domain contrast	industry research expansion
private-security	industry-expanded	Private Security	logs sites	TY-INDUSTRIAL-COND	sharp-0	security	domain contrast	industry research expansion
property-management	industry-expanded	Property Management	tickets tenants	TY-HUMANIST	soft-rect	prop-mgmt	domain contrast	industry research expansion
pub-uk	industry-expanded	UK Pub	ale boards cosy	TY-OLDSTYLE-SERIF	chunk-border	pub	domain contrast	industry research expansion
publishing-journal	industry-expanded	Academic Journal	abstracts peer	TY-SERIF-TEXT	ink-underline	journal	domain contrast	industry research expansion
radio-station	industry-expanded	Radio Station	schedule playlists	TY-INDUSTRIAL-COND	sharp-0	radio-station	domain contrast	industry research expansion
rail-operator	industry-expanded	Rail Operator	disruption clear	TY-HUMANIST	sharp-0	rail-op	domain contrast	industry research expansion
recruitment-agency	industry-expanded	Recruitment Agency	roles candidates	TY-GROTESK-SOFT	soft-rect	recruitment	domain contrast	industry research expansion
recycling-centre	industry-expanded	Recycling Centre	streams rules	TY-HUMANIST	chunk-border	recycling	domain contrast	industry research expansion
removals	industry-expanded	Removals	inventory days	TY-HUMANIST	chunk-border	removals	domain contrast	industry research expansion
rental-cars	industry-expanded	Car Rental	classes extras	TY-GROTESK-SOFT	soft-rect	car-rental	domain contrast	industry research expansion
repair-cafe	industry-expanded	Repair Café	fix don't replace	TY-HUMANIST	chunk-border	repair-cafe	domain contrast	industry research expansion
research-lab-ops	industry-expanded	Research Lab Ops	equipment bookings	TY-MONO-DATA	sharp-0	lab-ops	domain contrast	industry research expansion
restaurant-chain	industry-expanded	Restaurant Chain	menu locations	TY-GROTESK-SOFT	pill	resto-chain	domain contrast	industry research expansion
retirement	industry-expanded	Retirement Community	dignity clear	TY-HUMANIST	soft-rect	retirement	domain contrast	industry research expansion
riding-school	industry-expanded	Riding School	lessons horses	TY-TRANSITIONAL-SERIF	soft-rect	riding	domain contrast	industry research expansion
roofing	industry-expanded	Roofing	quotes jobs	TY-INDUSTRIAL-COND	chunk-border	roofing	domain contrast	industry research expansion
rowing-club	industry-expanded	Rowing Club	sessions water	TY-HUMANIST	chunk-border	rowing	domain contrast	industry research expansion
saas-vertical-legal	industry-expanded	Legal SaaS	matters documents	TY-GROTESK-SOFT	soft-rect	legal-saas	domain contrast	industry research expansion
saas-vertical-clinic	industry-expanded	Clinic SaaS	appointments charts	TY-HUMANIST	soft-rect	clinic-saas	domain contrast	industry research expansion
sailing-club	industry-expanded	Sailing Club	races tide	TY-HUMANIST	chunk-border	sailing-club	domain contrast	industry research expansion
school-primary-uk	industry-expanded	UK Primary School	parents homework	TY-ROUNDED	pill	primary-school	domain contrast	industry research expansion
school-secondary	industry-expanded	Secondary School	timetables grades	TY-HUMANIST	soft-rect	secondary	domain contrast	industry research expansion
scrapyard	industry-expanded	Scrapyard	inventory metal	TY-INDUSTRIAL-COND	chunk-border	scrap	domain contrast	industry research expansion
scuba-school	industry-expanded	Scuba School	courses dives	TY-HUMANIST	pill	scuba-school	domain contrast	industry research expansion
seafood-restaurant	industry-expanded	Seafood Restaurant	catch menu	TY-HUMANIST	soft-rect	seafood-resto	domain contrast	industry research expansion
security-soc	industry-expanded	Security SOC	alerts dark	TY-MONO-DATA	sharp-0	soc	domain contrast	industry research expansion
self-storage	industry-expanded	Self Storage	units access	TY-HUMANIST	soft-rect	storage	domain contrast	industry research expansion
sewage-utility	industry-expanded	Water Utility	outages maps	TY-HUMANIST	chunk-border	water-utility	domain contrast	industry research expansion
shoe-brand	industry-expanded	Shoe Brand	product drops	TY-GROTESK-SOFT	pill	shoes	domain contrast	industry research expansion
skate-shop	industry-expanded	Skate Shop	decks video	TY-MIXED-HIGH-CONTRAST	chunk-border	skate-shop	domain contrast	industry research expansion
ski-school	industry-expanded	Ski School	lessons passes	TY-HUMANIST	pill	ski-school	domain contrast	industry research expansion
social-housing	industry-expanded	Social Housing	repairs dignity	TY-HUMANIST	sharp-0	social-housing	domain contrast	industry research expansion
solarium-careful	industry-expanded	Tanning Careful	retail not harm promo	TY-GROTESK-SOFT	pill	tanning	domain contrast	industry research expansion
spa-day	industry-expanded	Day Spa	packages calm	TY-HUMANIST	pill	day-spa	domain contrast	industry research expansion
specialty-coffee-sub	industry-expanded	Subscription Coffee	roasts deliveries	TY-HUMANIST	soft-rect	coffee-sub	domain contrast	industry research expansion
sports-league	industry-expanded	Sports League	tables fixtures	TY-INDUSTRIAL-COND	sharp-0	league	domain contrast	industry research expansion
stadium	industry-expanded	Stadium	seats wayfinding	TY-INDUSTRIAL-COND	chunk-border	stadium	domain contrast	industry research expansion
startup-seed	industry-expanded	Seed Startup	scrappy bold	TY-GROTESQUE	sharp-0	startup	domain contrast	industry research expansion
stationery-brand	industry-expanded	Stationery Brand	paper product	TY-OLDSTYLE-SERIF	ink-underline	stationery-brand	domain contrast	industry research expansion
steakhouse	industry-expanded	Steakhouse	dark wood meat	TY-TRANSITIONAL-SERIF	chunk-border	steakhouse	domain contrast	industry research expansion
stock-broker	industry-expanded	Brokerage	blotters numbers	TY-MONO-DATA	sharp-0	brokerage	domain contrast	industry research expansion
street-food	industry-expanded	Street Food	stalls maps	TY-DISPLAY-EXTREME	chunk-border	street-food	domain contrast	industry research expansion
student-union	industry-expanded	Student Union	events services	TY-ROUNDED	pill	student-union	domain contrast	industry research expansion
supermarket-premium	industry-expanded	Premium Supermarket	quality calm	TY-HUMANIST	soft-rect	premium-grocery	domain contrast	industry research expansion
surgery-cosmetic-careful	industry-expanded	Cosmetic Clinic Careful	informed not hype	TY-HUMANIST	soft-rect	cosmetic-careful	domain contrast	industry research expansion
surveying	industry-expanded	Surveying	plans plots	TY-MONO-DATA	sharp-0	survey	domain contrast	industry research expansion
sushi	industry-expanded	Sushi Restaurant	minimal precise	TY-GROTESK-SOFT	ink-underline	sushi-min	domain contrast	industry research expansion
swimming-pool-public	industry-expanded	Public Pool	timetables lanes	TY-HUMANIST	chunk-border	public-pool	domain contrast	industry research expansion
synagogue-community	industry-expanded	Community Centre Faith careful	respectful	TY-HUMANIST	ink-underline	faith-community	domain contrast	industry research expansion
takeaway	industry-expanded	Takeaway	menu cart speed	TY-GROTESK-SOFT	filled-block	takeaway	domain contrast	industry research expansion
tattoo-studio	industry-expanded	Tattoo Studio	flash portfolios	TY-MIXED-HIGH-CONTRAST	chunk-border	tattoo	domain contrast	industry research expansion
tax-advisor	industry-expanded	Tax Advisor	forms calm	TY-HUMANIST	soft-rect	tax	domain contrast	industry research expansion
taxi-dispatch	industry-expanded	Taxi Dispatch	jobs map	TY-INDUSTRIAL-COND	chunk-border	taxi-dispatch	domain contrast	industry research expansion
tea-shop	industry-expanded	Tea Shop	blends calm	TY-OLDSTYLE-SERIF	soft-rect	tea-shop	domain contrast	industry research expansion
tech-conference	industry-expanded	Tech Conference	agenda speakers	TY-GROTESK-SOFT	sharp-0	tech-conf	domain contrast	industry research expansion
theatre-tickets	industry-expanded	Theatre Tickets	seats shows	TY-DIDONE-LUX	ticket	theatre-tix	domain contrast	industry research expansion
theme-park	industry-expanded	Theme Park	maps rides joy	TY-ROUNDED	pill	theme-park	domain contrast	industry research expansion
thrift-store	industry-expanded	Thrift Store	racks finds	TY-MIXED-HIGH-CONTRAST	chunk-border	thrift-store	domain contrast	industry research expansion
tile-shop	industry-expanded	Tile Shop	grids samples	TY-GEOMETRIC	soft-rect	tiles	domain contrast	industry research expansion
tools-brand	industry-expanded	Tools Brand	tough clear	TY-INDUSTRIAL-COND	chunk-border	tools-brand	domain contrast	industry research expansion
tour-operator	industry-expanded	Tour Operator	itineraries	TY-HUMANIST	soft-rect	tours	domain contrast	industry research expansion
toy-brand	industry-expanded	Toy Brand	play safe colour	TY-ROUNDED	pill	toy-brand	domain contrast	industry research expansion
trade-union	industry-expanded	Trade Union	campaigns solidarity	TY-INDUSTRIAL-COND	chunk-border	union	domain contrast	industry research expansion
trainers-brand	industry-expanded	Sneaker Brand	drops hype	TY-INDUSTRIAL-COND	sharp-0	sneakers	domain contrast	industry research expansion
translation	industry-expanded	Translation Agency	languages clear	TY-HUMANIST	soft-rect	translation	domain contrast	industry research expansion
transport-for-city	industry-expanded	City Transport	status lines	TY-HUMANIST	sharp-0	city-transport	domain contrast	industry research expansion
travel-agent-indie	industry-expanded	Indie Travel Agent	stories itineraries	TY-HUMANIST	soft-rect	indie-travel	domain contrast	industry research expansion
tree-surgery	industry-expanded	Tree Surgery	jobs risk	TY-HUMANIST	chunk-border	tree-surgery	domain contrast	industry research expansion
university-admissions	industry-expanded	Uni Admissions	deadlines forms	TY-HUMANIST	soft-rect	admissions	domain contrast	industry research expansion
vape-careful	industry-expanded	Vape Retail Careful	adult clear not youth	TY-GROTESK-SOFT	soft-rect	adult-retail	domain contrast	industry research expansion
vegan-cafe	industry-expanded	Vegan Café	fresh ethical	TY-HUMANIST	soft-rect	vegan-cafe	domain contrast	industry research expansion
venture-capital	industry-expanded	Venture Capital	portfolio sparse	TY-GROTESK-SOFT	ink-underline	vc	domain contrast	industry research expansion
vet	industry-expanded	Veterinary	pets care calm	TY-HUMANIST	soft-rect	vet	domain contrast	industry research expansion
video-production	industry-expanded	Video Production	showreels	TY-GROTESK-SOFT	soft-rect	video-prod	domain contrast	industry research expansion
vintage-shop	industry-expanded	Vintage Shop	decades racks	TY-MIXED-HIGH-CONTRAST	ticket	vintage-shop	domain contrast	industry research expansion
vineyard	industry-expanded	Vineyard	terroir bottles	TY-OLDSTYLE-SERIF	ink-underline	vineyard	domain contrast	industry research expansion
virtual-event	industry-expanded	Virtual Event	agenda stage	TY-GROTESK-SOFT	soft-rect	virtual-event	domain contrast	industry research expansion
vocational-college	industry-expanded	Vocational College	courses practical	TY-HUMANIST	soft-rect	vocational	domain contrast	industry research expansion
volunteer-platform	industry-expanded	Volunteer Platform	shifts impact	TY-HUMANIST	pill	volunteer	domain contrast	industry research expansion
vpn-privacy	industry-expanded	VPN Privacy	trust technical	TY-GROTESK-SOFT	soft-rect	vpn	domain contrast	industry research expansion
warehouse-club	industry-expanded	Warehouse Club	bulk value	TY-INDUSTRIAL-COND	chunk-border	warehouse-club	domain contrast	industry research expansion
waste-management	industry-expanded	Waste Management	routes bins	TY-HUMANIST	chunk-border	waste	domain contrast	industry research expansion
watch-brand	industry-expanded	Watch Brand	precision luxury	TY-DIDONE-LUX	ink-underline	watches	domain contrast	industry research expansion
weather-service	industry-expanded	Weather Service	maps alerts	TY-HUMANIST	sharp-0	weather-svc	domain contrast	industry research expansion
web-hosting	industry-expanded	Web Hosting	plans status	TY-MONO-DATA	soft-rect	hosting	domain contrast	industry research expansion
wedding-planner	industry-expanded	Wedding Planner	timelines romantic	TY-SCRIPT-SPARSE	soft-rect	wedding-plan	domain contrast	industry research expansion
wellness-retreat	industry-expanded	Wellness Retreat	calm nature	TY-HUMANIST	pill	retreat	domain contrast	industry research expansion
whisky-brand	industry-expanded	Whisky Brand	heritage peat	TY-OLDSTYLE-SERIF	chunk-border	whisky	domain contrast	industry research expansion
wine-merchant	industry-expanded	Wine Merchant	cellar notes	TY-TRANSITIONAL-SERIF	ink-underline	wine-merchant	domain contrast	industry research expansion
workspace-booking	industry-expanded	Room Booking	availability	TY-HUMANIST	soft-rect	room-book	domain contrast	industry research expansion
yacht-charter	industry-expanded	Yacht Charter	fleet calendars	TY-HUMANIST	soft-rect	yacht-charter	domain contrast	industry research expansion
yoga-studio	industry-expanded	Yoga Studio	timetable calm	TY-HUMANIST	pill	yoga	domain contrast	industry research expansion
youth-club	industry-expanded	Youth Club	events safe bright	TY-ROUNDED	pill	youth-club	domain contrast	industry research expansion
zoo	industry-expanded	Zoo	maps animals education	TY-HUMANIST	chunk-border	zoo-map	domain contrast	industry research expansion
